,Latitude,Diameter,CraterID,Depth,Volume
285256,-41.943000000000005,19.1,24-000783,0.07,10.023154750000003
285257,-42.74,19.05,24-000784,1.05,149.56119281250002
285258,-34.605,19.04,24-000785,0.16,22.76635648
285259,-30.469,19.03,24-000786,0.74,105.18382440500001
285261,-34.794000000000004,18.98,24-000788,0.12,16.96732284
285262,-47.782,18.97,24-000789,0.58,81.92233388499999
285263,-36.723,18.97,24-000790,0.1,14.124540324999998
285264,-43.937,18.92,24-000791,0.56,78.68101472000002
285265,-32.093,18.92,24-000792,0.32,44.96057984000001
285266,-51.364,18.92,24-000793,0.39,54.795706680000016
285267,-36.082,18.9,24-000794,0.32,44.86557599999999
285268,-43.211999999999996,18.89,24-000795,0.07,9.803961947500001
285269,-50.696999999999996,18.89,24-000796,0.45,63.0254696625
285270,-60.388000000000005,18.84,24-000797,0.68,94.73498064
285271,-32.711999999999996,18.83,24-000798,0.29,40.35880504249999
285272,-49.938,18.83,24-000799,0.32,44.53385383999999
285273,-50.608000000000004,18.82,24-000800,0.26,36.145334420000005
285274,-55.174,18.79,24-000801,1.37,189.85139317250002
285275,-37.417,18.77,24-000802,0.05,6.9141406624999995
285276,-35.176,18.76,24-000803,1.08,149.18634864000003
285277,-44.294,18.74,24-000804,0.38,52.379630539999994
285278,-33.857,18.71,24-000805,0.83,114.04213217750002
285279,-58.364,18.71,24-000806,0.21,28.854033442500004
285280,-37.580999999999996,18.65,24-000807,0.14,19.112846374999997
285281,-55.342,18.61,24-000808,0.53,72.0457351025
285282,-50.778999999999996,18.61,24-000809,0.43,58.452200177499996
285283,-53.313,18.6,24-000810,0.94,127.64194200000001
285284,-32.398,18.6,24-000811,0.62,84.18936600000002
285285,-41.58,18.58,24-000812,1.29,174.79169373
285286,-35.202,18.49,24-000813,0.06,8.051276354999999
285287,-50.559,18.49,24-000814,0.4,53.675175700000004
285288,-52.854,18.46,24-000815,0.33,44.138441490000005
285289,-45.07,18.43,24-000816,0.59,78.6578992175
285290,-32.28,18.39,24-000817,0.25,33.185099812500006
285291,-55.008,18.38,24-000818,0.51,67.62399926999998
285292,-64.577,18.37,24-000819,0.12,15.894219990000002
285293,-49.84,18.37,24-000820,0.19,25.165848317500004
285294,-45.806000000000004,18.36,24-000821,0.41,54.24614387999999
285295,-51.078,18.36,24-000822,0.25,33.076916999999995
285296,-58.358000000000004,18.36,24-000823,0.42,55.56922055999999
285297,-50.032,18.34,24-000824,0.52,68.65017796000001
285298,-63.605,18.32,24-000825,0.44,57.96198848000001
285300,-61.74100000000001,18.31,24-000827,0.05,6.579400962499999
285301,-50.523,18.29,24-000828,0.26,34.138184405
285302,-43.466,18.27,24-000829,0.27,35.3737025775
285303,-33.709,18.26,24-000830,0.06,7.852219980000001
285304,-62.898,18.24,24-000831,0.08,10.44670464
285305,-46.9,18.23,24-000832,0.02,2.608813265
285306,-45.073,18.21,24-000833,0.69,89.8066803825
285307,-30.758000000000003,18.16,24-000834,0.26,33.65462048
285308,-42.346000000000004,18.14,24-000835,1.09,140.77992337000003
285309,-55.11600000000001,18.13,24-000836,0.59,76.1179846175
285310,-44.66,18.1,24-000837,0.45,57.864116250000016
285311,-35.347,18.08,24-000838,0.26,33.35875711999999
285312,-47.943999999999996,18.06,24-000839,0.36,46.08691668
285313,-36.611999999999995,18.01,24-000840,0.09,11.4580205325
285314,-61.701,17.97,24-000841,0.36,45.628723169999994
285315,-63.413999999999994,17.95,24-000842,0.14,17.705027375000004
285316,-60.912,17.95,24-000843,0.44,55.644371750000005
285317,-35.308,17.95,24-000844,0.46,58.173661375
285318,-48.605,17.89,24-000845,0.14,17.586862895000003
285319,-36.025999999999996,17.86,24-000846,0.36,45.07181748
285320,-48.812,17.85,24-000847,0.56,70.03322550000003
285321,-30.728,17.84,24-000848,0.8,99.93539840000001
285322,-42.855,17.81,24-000849,1.18,146.909373715
285323,-61.471000000000004,17.75,24-000850,1.04,128.6085125
285324,-44.2,17.73,24-000851,0.5,61.69175662500001
285325,-64.518,17.72,24-000852,0.36,44.36797391999999
285326,-33.436,17.69,24-000853,0.16,19.652387080000008
285327,-36.181,17.65,24-000854,0.83,101.48624243749997
285328,-51.613,17.62,24-000855,0.1,12.185727700000001
285329,-30.391,17.61,24-000856,1.02,124.15337923500002
285330,-49.238,17.61,24-000857,0.31,37.732889767500005
285331,-53.435,17.61,24-000858,0.4,48.68759970000001
285332,-46.481,17.6,24-000859,1.42,172.64473600000002
285333,-50.245,17.58,24-000860,0.31,37.60443746999999
285334,-37.166,17.58,24-000861,0.5,60.65231849999999
285335,-58.585,17.57,24-000862,0.7,84.81667127499999
285336,-50.785,17.55,24-000863,0.32,38.685114000000006
285337,-37.162,17.54,24-000864,0.45,54.33896385
285338,-35.01,17.53,24-000865,1.05,126.64638341250001
285339,-44.972,17.53,24-000866,1.14,137.501787705
285340,-30.155,17.52,24-000867,0.34,40.96253088
285341,-62.083999999999996,17.51,24-000868,0.87,104.69626914750002
285342,-35.258,17.45,24-000869,0.62,74.100683375
285343,-59.315,17.43,24-000870,0.29,34.580592742499995
285344,-58.74100000000001,17.39,24-000871,0.53,62.909277102500006
285345,-41.733000000000004,17.37,24-000872,0.56,66.31737462000001
285346,-37.788000000000004,17.36,24-000873,0.23,27.206140640000005
285347,-42.04600000000001,17.35,24-000874,1.08,127.60343775000003
285348,-42.332,17.34,24-000875,0.39,46.025917469999996
285349,-40.33,17.31,24-000876,0.24,28.225720619999993
285350,-58.833,17.3,24-000877,0.13,15.27127225
285351,-47.586999999999996,17.3,24-000878,0.92,108.07361900000001
285352,-48.162,17.28,24-000879,0.24,28.127969280000002
285353,-36.736999999999995,17.25,24-000880,1.2,140.1519375
285354,-47.369,17.23,24-000881,0.48,55.93085436
285355,-59.626000000000005,17.21,24-000882,0.49,56.96360703250001
285356,-45.68899999999999,17.21,24-000883,0.56,65.10126518000001
285357,-47.262,17.19,24-000884,0.39,45.233065507500015
285358,-49.658,17.19,24-000885,0.18,20.876799465000005
285359,-44.308,17.18,24-000886,0.31,35.91266827
285360,-45.65,17.18,24-000887,0.37,42.86350729
285361,-30.261999999999997,17.14,24-000888,0.37,42.664142410000004
285362,-32.058,17.13,24-000889,0.06,6.910438994999999
285363,-40.745,17.12,24-000890,0.26,29.91028352
285364,-39.644,17.12,24-000891,0.17,19.55672384
285365,-38.579,17.09,24-000892,0.09,10.317305632500002
285366,-49.61,17.07,24-000893,0.38,43.46005783500001
285367,-33.714,17.06,24-000894,0.26,29.70099938
285368,-51.68,17.05,24-000895,0.39,44.499285187500014
285369,-62.24,17.04,24-000896,0.26,29.631401279999995
285370,-46.711999999999996,17.01,24-000897,0.45,51.104695162500015
285371,-52.882,17.0,24-000898,0.36,40.8357
285372,-55.353,17.0,24-000899,0.27,30.626775000000002
285373,-41.895,16.99,24-000900,1.12,126.89497995999999
285374,-39.321,16.98,24-000901,0.23,26.028124110000004
285375,-34.738,16.97,24-000902,0.27,30.518775877499998
285376,-41.68899999999999,16.96,24-000903,0.29,32.740805120000005
285377,-49.44,16.93,24-000904,0.45,50.6251229625
285378,-54.87,16.92,24-000905,0.24,26.968178880000007
285379,-34.211,16.9,24-000906,0.39,43.719750749999996
285380,-58.411,16.9,24-000907,0.41,45.961789249999995
285381,-60.376999999999995,16.89,24-000908,0.13,14.556008902500004
285382,-50.945,16.89,24-000909,0.09,10.077236932500002
285383,-60.655,16.84,24-000910,0.62,69.01055576
285385,-52.37,16.83,24-000912,0.27,30.017302177499996
285386,-30.825,16.81,24-000913,0.18,19.964001464999996
285387,-63.769,16.8,24-000914,0.47,52.066224
285388,-51.51,16.8,24-000915,0.41,45.419472
285389,-63.711000000000006,16.8,24-000916,0.08,8.862336
285390,-54.761,16.79,24-000917,0.14,15.490630295
285391,-61.663000000000004,16.79,24-000918,0.05,5.5323679625
285392,-45.36,16.79,24-000919,0.14,15.490630295
285393,-45.045,16.77,24-000920,0.21,23.180621782499998
285394,-36.372,16.76,24-000921,0.17,18.742892360000006
285395,-57.768,16.76,24-000922,0.43,47.40849244000001
285396,-46.269,16.74,24-000923,0.64,70.39317311999999
285397,-56.476000000000006,16.72,24-000924,0.73,80.10047055999998
285398,-49.156000000000006,16.71,24-000925,0.67,73.42895769750001
285399,-54.658,16.66,24-000926,0.41,44.66563493
285400,-49.725,16.64,24-000927,0.34,36.95091712000001
285401,-63.718999999999994,16.64,24-000928,0.71,77.16220928000001
285402,-49.358999999999995,16.63,24-000929,0.35,37.9920041375
285403,-31.073,16.6,24-000930,0.18,19.468314000000003
285404,-50.55,16.55,24-000931,0.42,45.152827125
285405,-42.023999999999994,16.54,24-000932,0.24,25.770444719999997
285406,-33.808,16.54,24-000933,0.3,32.2130559
285407,-58.951,16.51,24-000934,0.18,19.257784065000006
285408,-45.802,16.49,24-000935,0.09,9.605577532499996
285409,-38.004,16.48,24-000936,0.75,79.949424
285411,-60.923,16.47,24-000938,0.14,14.905786454999998
285412,-63.382,16.3,24-000939,0.78,81.34099350000001
285413,-54.165,16.28,24-000940,0.6,62.41654320000001
